iter	Passed	Remaining
702	159026	2555504
703	159238	2555049
704	159486	2555183
705	159725	2555162
706	159945	2554835
707	160209	2555203
708	160450	2555206
709	160665	2554808
710	160893	2554602
711	161125	2554476
712	161375	2554627
713	161603	2554416
714	161832	2554239
715	162049	2553858
716	162297	2553979
717	162529	2553833
718	162758	2553652
719	162976	2553293
720	163198	2553005
721	163439	2553005
722	163672	2552889
723	163910	2552837
724	164193	2553496
725	164455	2553820
726	164747	2554612
727	165077	2555985
728	165384	2556997
729	165683	2557874
730	165976	2558668
731	166296	2559880
732	166533	2559804
733	166736	2559199
734	166948	2558747
735	167191	2558750
736	167418	2558526
737	167634	2558124
738	167869	2558026
739	168108	2557974
740	168335	2557738
741	168564	2557541
742	168785	2557227
743	169009	2556943
744	169246	2556872
745	169510	2557202
746	169749	2557149
747	170056	2558129
748	170318	2558410
749	170642	2559643
750	170920	2560161
751	171200	2560728
752	171482	2561303
753	171718	2561196
754	171989	2561616
755	172294	2562534
756	172601	2563486
757	172955	2565125
758	173297	2566579
759	173649	2568189
760	174043	2570399
761	174355	2571404
762	174673	2572484
763	174985	2573476
764	175278	2574195
765	175534	2574359
766	175815	2574889
767	176095	2575390
768	176415	2576497
769	176747	2577766
770	177112	2579507
771	177414	2580328
772	177780	2582068
773	178124	2583500
774	178433	2584406
775	178688	2584539
776	178984	2585257
777	179248	2585507
778	179603	2587068
779	179930	2588229
780	180318	2590253
781	180643	2591382
782	180926	2591887
783	181180	2591991
784	181430	2592026
785	181662	2591804
786	181978	2592787
787	182259	2593265
788	182525	2593523
789	182766	2593433
790	183014	2593443
791	183266	2593505
792	183605	2594784
793	183924	2595795
794	184199	2596167
795	184449	2596191
796	184661	2595687
797	184864	2595059
798	185102	2594910
799	185354	2594960
800	185808	2597833
801	186037	2597567
802	186251	2597084
803	186487	2596912
804	186730	2596832
805	186933	2596193
806	187235	2596937
807	187456	2596547
808	187725	2596836
809	187964	2596696
810	188200	2596521
811	188486	2597028
812	188737	2597061
813	188945	2596488
814	189140	2595756
815	189357	2595311
816	189550	2594540
817	189812	2594722
818	190136	2595749
819	190348	2595245
820	190696	2596582
821	190908	2596083
822	191112	2595456
823	191318	2594872
824	191554	2594692
825	191757	2594064
826	191983	2593756
827	192282	2594417
828	192495	2593934
829	192709	2593451
830	193001	2594019
831	193188	2593187
832	193429	2593075
833	193680	2593095
834	193895	2592623
835	194107	2592126
836	194359	2592158
837	194628	2592413
838	194840	2591908
839	195088	2591887
840	195396	2592668
841	195634	2592503
842	195854	2592110
843	196176	2593067
844	196423	2593023
845	196661	2592868
846	196929	2593104
847	197224	2593689
848	197554	2594739
849	197780	2594419
850	198079	2595048
851	198421	2596251
852	198726	2596962
853	198980	2597000
854	199264	2597428
855	199510	2597370
856	199876	2598855
857	200331	2601513
858	200686	2602855
859	200964	2603196
860	201214	2603172
861	201488	2603450
862	201759	2603704
863	202010	2603691
864	202307	2604270
865	202590	2604670
866	202861	2604907
867	203153	2605423
868	203523	2606930
869	203819	2607482
870	204072	2607490
871	204339	2607670
872	204543	2607051
873	204760	2606592
874	204983	2606220
875	205202	2605793
876	205429	2605465
877	205640	2604931
878	205887	2604861
879	206109	2604477
880	206337	2604159
881	206551	2603674
882	206797	2603590
883	207026	2603288
884	207237	2602763
885	207449	2602255
886	207640	2601477
887	207855	2601003
888	208159	2601641
889	208444	2602039
890	208654	2601503
891	208896	2601365
892	209111	2600899
893	209366	2600921
894	209587	2600520
895	209884	2601072
896	210138	2601072
897	210425	2601498
898	210732	2602161
899	210964	2601900
900	211189	2601550
901	211444	2601562
902	211660	2601100
903	211897	2600901
904	212137	2600740
905	212426	2601167
906	212687	2601258
907	213066	2602794
908	213327	2602878
909	213688	2604186
910	213965	2604457
911	214164	2603787
912	214377	2603290
913	214648	2603491
914	214859	2602969
915	215173	2603696
916	215439	2603835
917	215630	2603074
918	215825	2602349
919	216098	2602583
920	216329	2602301
921	216515	2601469
922	216719	2600863
923	216913	2600145
924	217151	2599949
925	217356	2599356
926	217548	2598616
927	217752	2598007
928	217954	2597393
929	218145	2596638
930	218337	2595890
931	218522	2595072
932	218710	2594288
933	218890	2593404
934	219114	2593051
935	219317	2592440
936	219522	2591860
937	219712	2591103
938	219917	2590525
939	220111	2589817
940	220328	2589384
941	220512	2588566
942	220718	2588005
943	220992	2588237
944	221179	2587452
945	221477	2587967
946	221738	2588038
947	221949	2587542
948	222145	2586859
949	222370	2586516
950	222557	2585738
951	222839	2586064
952	223013	2585127
953	223312	2585655
954	223589	2585909
955	223785	2585232
956	224065	2585529
957	224276	2585027
958	224598	2585812
959	224855	2585833
960	225049	2585142
961	225233	2584326
962	225438	2583761
963	225636	2583114
964	225821	2582325
965	226012	2581599
966	226223	2581103
967	226428	2580542
968	226643	2580084
969	226911	2580237
970	227111	2579627
971	227441	2580474
972	227671	2580201
973	227930	2580253
974	228196	2580377
975	228472	2580612
976	228802	2581462
977	229063	2581536
978	229433	2582826
979	229709	2583061
980	229971	2583135
981	230269	2583615
982	230558	2583993
983	230792	2583745
984	231026	2583506
985	231280	2583494
986	231496	2583050
987	231817	2583776
988	232148	2584621
989	232456	2585198
990	232686	2584904
991	233030	2585889
992	233254	2585531
993	233480	2585195
994	233692	2584704
995	233902	2584205
996	234098	2583535
997	234330	2583269
998	234550	2582871
999	234805	2582865
1000	235037	2582590
1001	235235	2581960
1002	235563	2582740
1003	235806	2582598
1004	236014	2582065
1005	236216	2581476
1006	236415	2580853
1007	236623	2580319
1008	236894	2580486
1009	237108	2580017
1010	237336	2579712
1011	237544	2579188
1012	237758	2578730
1013	237982	2578378
1014	238188	2577828
1015	238415	2577520
1016	238606	2576804
1017	238824	2576390
1018	239048	2576044
1019	239267	2575646
1020	239488	2575263
1021	239724	2575041
1022	239954	2574757
1023	240190	2574541
1024	240372	2573740
1025	240597	2573410
1026	240814	2572982
1027	241041	2572676
1028	241254	2572209
1029	241454	2571606
1030	241646	2570919
1031	241857	2570443
1032	242075	2570026
1033	242284	2569524
1034	242496	2569052
1035	242685	2568345
1036	242895	2567852
1037	243087	2567171
1038	243362	2567371
1039	243621	2567401
1040	243988	2568556
1041	244417	2570374
1042	244785	2571539
1043	245184	2573029
1044	245568	2574358
1045	245962	2575791
1046	246338	2577030
1047	246642	2577513
1048	246944	2577965
1049	247223	2578184
1050	247543	2578837
1051	247840	2579235
1052	248180	2580089
1053	248495	2580679
1054	248807	2581227
1055	249072	2581301
1056	249341	2581405
1057	249648	2581900
1058	249966	2582518
1059	250287	2583151
1060	250594	2583655
1061	250944	2584584
1062	251233	2584897
1063	251455	2584503
1064	251685	2584212
1065	251931	2584069
1066	252167	2583833
1067	252369	2583245
1068	252582	2582764
1069	252814	2582487
1070	253142	2583187
1071	253427	2583445
1072	253675	2583329
1073	253969	2583676
1074	254206	2583443
1075	254428	2583068
1076	254646	2582642
1077	254864	2582212
1078	255081	2581785
1079	255301	2581385
1080	255494	2580702
1081	255698	2580145
1082	255907	2579633
1083	256122	2579180
1084	256348	2578839
1085	256566	2578417
1086	256781	2577976
1087	257020	2577767
1088	257246	2577420
1089	257471	2577075
1090	257700	2576772
1091	257912	2576286
1092	258133	2575901
1093	258377	2575744
1094	258622	2575599
1095	258836	2575142
1096	259071	2574890
1097	259267	2574258
1098	259507	2574058
1099	259776	2574148
1100	260068	2574463
1101	260318	2574361
1102	260554	2574130
1103	260842	2574405
1104	261110	2574480
1105	261405	2574821
1106	261650	2574672
1107	261944	2575004
